Model,DPO4034,x
Firmware Version,2.1,x
,,x
Point Format,Y,x
Horizontal Units,S,x
Horizontal Scale,0.0002,x
Sample Interval,2.00E-07,x
Record Length,10000,x
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,2
Label,,
TIME,CH1,CH2
-6.56E-04,4.69594,4.87219
-6.56E-04,4.68906,4.8575
-6.56E-04,4.6975,4.85281
-6.55E-04,4.685,4.86781
-6.55E-04,4.68562,4.86156
-6.55E-04,4.69313,4.86531
-6.55E-04,4.69937,4.85938
-6.55E-04,4.69031,4.87375
-6.54E-04,4.6925,4.86094
-6.54E-04,4.695,4.85594
-6.54E-04,4.69625,4.86625
-6.54E-04,4.69562,4.86438
-6.54E-04,4.69875,4.85938
-6.53E-04,4.69906,4.85656
-6.53E-04,4.69313,4.85969
-6.53E-04,4.69344,4.86156
-6.53E-04,4.69031,4.86469
-6.53E-04,4.69469,4.86094
-6.52E-04,4.69437,4.85719
-6.52E-04,4.70531,4.86375
-6.52E-04,4.69375,4.85875
-6.52E-04,4.69313,4.85094
-6.52E-04,4.69562,4.87219
-6.51E-04,4.69156,4.86469
-6.51E-04,4.68938,4.84594
-6.51E-04,4.70094,4.85625
-6.51E-04,4.68625,4.85406
-6.51E-04,4.68906,4.86969
-6.50E-04,4.70156,4.86656
-6.50E-04,4.69813,4.86219
-6.50E-04,4.70344,4.87344
-6.50E-04,4.69688,4.85344
-6.50E-04,4.70438,4.86906
-6.49E-04,4.70312,4.85031
-6.49E-04,4.7025,4.86688
-6.49E-04,4.70125,4.87312
-6.49E-04,4.70312,4.87813
-6.49E-04,4.68562,4.83938
-6.48E-04,4.69062,4.86125
-6.48E-04,4.70406,4.85844
-6.48E-04,4.69906,4.865
-6.48E-04,4.69156,4.84938
-6.48E-04,4.69156,4.86125
-6.47E-04,4.70469,4.85156
-6.47E-04,4.69625,4.86344
-6.47E-04,4.69562,4.85594
-6.47E-04,4.69906,4.8625
-6.47E-04,4.70344,4.87188
-6.46E-04,4.69281,4.85219
-6.46E-04,4.68688,4.86563
-6.46E-04,4.69281,4.86469
-6.46E-04,4.70031,4.85438
-6.46E-04,4.68875,4.86156
-6.45E-04,4.69469,4.85781
-6.45E-04,4.69281,4.85031
-6.45E-04,4.695,4.87
-6.45E-04,4.6875,4.85813
-6.45E-04,4.69531,4.85469
-6.44E-04,4.68594,4.87594
-6.44E-04,4.69656,4.86313
-6.44E-04,4.69031,4.86219
-6.44E-04,4.68906,4.86125
-6.44E-04,4.70063,4.86375
-6.43E-04,4.70094,4.865
-6.43E-04,4.68281,4.86188
-6.43E-04,4.69313,4.85844
-6.43E-04,4.70187,4.8575
-6.43E-04,4.70562,4.86656
-6.42E-04,4.68906,4.84094
-6.42E-04,4.6975,4.89875
-6.42E-04,4.69875,4.8725
-6.42E-04,4.68719,4.86469
-6.42E-04,4.69844,4.85875
-6.41E-04,4.68531,4.84406
-6.41E-04,4.69531,4.86156
-6.41E-04,4.69094,4.86563
-6.41E-04,4.68875,4.85844
-6.41E-04,4.69875,4.87156
-6.40E-04,4.695,4.85531
-6.40E-04,4.69594,4.86375
-6.40E-04,4.69719,4.86656
-6.40E-04,4.68969,4.87469
-6.40E-04,4.69656,4.85781
-6.39E-04,4.68812,4.88063
-6.39E-04,4.68531,4.86969
-6.39E-04,4.70187,4.865
-6.39E-04,4.70156,4.88469
-6.39E-04,4.68063,4.85562
-6.38E-04,4.68781,4.85469
-6.38E-04,4.69906,4.86031
-6.38E-04,4.69781,4.86438
-6.38E-04,4.71094,4.87125
-6.38E-04,4.69281,4.86656
-6.37E-04,4.69031,4.85781
-6.37E-04,4.695,4.86469
-6.37E-04,4.69656,4.855
-6.37E-04,4.69813,4.86438
-6.37E-04,4.70344,4.85688
-6.36E-04,4.695,4.85438
-6.36E-04,4.69156,4.87625
-6.36E-04,4.69781,4.84938
-6.36E-04,4.68625,4.85375
-6.36E-04,4.69406,4.86313
-6.35E-04,4.69719,4.85469
-6.35E-04,4.70219,4.85781
-6.35E-04,4.69875,4.85969
-6.35E-04,4.70344,4.85781
-6.35E-04,4.68063,4.85531
-6.34E-04,4.69375,4.86219
-6.34E-04,4.69813,4.86031
-6.34E-04,4.69062,4.865
-6.34E-04,4.68,4.86281
-6.34E-04,4.68969,4.86469
-6.33E-04,4.69781,4.86313
-6.33E-04,4.70469,4.87625
-6.33E-04,4.7075,4.84
-6.33E-04,4.69531,4.89813
-6.33E-04,4.68906,4.89156
-6.32E-04,4.69781,4.85688
-6.32E-04,4.69875,4.86656
-6.32E-04,4.70375,4.87844
-6.32E-04,4.69406,4.86781
-6.32E-04,4.69813,4.86188
-6.31E-04,4.70031,4.85313
